country,ISO_A3,rank,value
Afghanistan,AFG,169.0,0.34992571428571434
Albania,ALB,95.0,0.6036413054464596
Algeria,DZA,93.0,0.6219263492063491
Andorra,AND,37.0,0.6702866666666667
Angola,AGO,149.0,0.44210259238095234
Antigua and Barbuda,ATG,61.0,0.6825302222222223
Argentina,ARG,49.0,0.7642587138947092
Armenia,ARM,87.0,0.6997907936507939
Australia,AUS,2.0,0.9185345733933222
Austria,AUT,21.0,0.784024387442402
Azerbaijan,AZE,76.0,0.6916666983347086
Bahamas,,51.0,0.7139546757846423
Bahrain,BHR,44.0,0.7115552380952382
Bangladesh,BGD,142.0,0.4258237897008486
Barbados,BRB,59.0,0.7385393650793652
Belarus,BLR,53.0,0.8025975377777778
Belgium,BEL,21.0,0.8055503828749696
Belize,BLZ,54.0,0.6804857142857144
Benin,BEN,165.0,0.396458201058201
Bhutan,BTN,136.0,0.41846666666666665
Bolivia (Plurinational State of),,113.0,0.6684142857142856
Bosnia and Herzegovina,BIH,86.0,0.6521239753333331
Botswana,BWA,109.0,0.6155714285714284
Brazil,BRA,79.0,0.6572091022019233
Brunei Darussalam,,30.0,0.6833511111111111
Bulgaria,BGR,58.0,0.7404399799365147
Burkina Faso,BFA,181.0,0.22622380952380952
Burundi,BDI,180.0,0.35164603174603176
Cambodia,KHM,136.0,0.49443809523809523
Cameroon,CMR,152.0,0.46790380952380956
Canada,CAN,8.0,0.8507914285714284
Cape Verde,CPV,123.0,0.4731516206349206
Central African Republic,CAF,185.0,0.3077084126984127
Chad,TCD,184.0,0.2405080068783069
Chile,CHL,41.0,0.7387547969818117
China,CHN,91.0,0.593391746031746
Colombia,COL,98.0,0.6045996332925464
Comoros,COM,159.0,0.4355388031746032
Congo,,140.0,0.4965458201058201
Congo (Democratic Republic of the),,186.0,0.3539746031746032
Costa Rica,CRI,68.0,0.6394556663654468
Cote d'Ivoire,,171.0,0.37927777777777777
Croatia,HRV,47.0,0.7543906323253601
Cuba,CUB,44.0,0.783532380952381
Cyprus,CYP,32.0,0.7689978463309153
Czech Republic,CZE,28.0,0.8610755555555557
Denmark,DNK,10.0,0.8701662209330381
Djibouti,DJI,170.0,0.29159206349206357
Dominica,DMA,93.0,0.6088631991496054
Dominican Republic,DOM,102.0,0.5856019996461416
Ecuador,ECU,98.0,0.591974642857143
Egypt,EGY,110.0,0.564606349206349
El Salvador,SLV,115.0,0.5418678499403453
Equatorial Guinea,GNQ,144.0,0.41491111111111106
Eritrea,ERI,182.0,0.22751372222222221
Estonia,EST,33.0,0.8559663492063494
Ethiopia,ETH,173.0,0.3048377975439368
Fiji,FJI,88.0,0.7520667066882972
Finland,FIN,24.0,0.8136120634920635
France,FRA,20.0,0.8070964540754046
Gabon,GAB,112.0,0.5861619047619048
Gambia,GMB,172.0,0.34196739926739933
Georgia,GEO,79.0,0.7683492063492062
Germany,DEU,6.0,0.8804204650782023
Ghana,GHA,138.0,0.5312552380952381
Greece,GRC,29.0,0.7955571174621582
Grenada,GRD,79.0,0.7239756888888889
Guatemala,GTM,125.0,0.46005973891606416
Guinea,GIN,179.0,0.28650822539682536
Guinea-Bissau,,177.0,0.3253333333333333
Guyana,GUY,121.0,0.5776250793650795
Haiti,HTI,168.0,0.37113426050949677
Honduras,HND,129.0,0.49531436357548625
|Hong Kong, China (SAR)|,,15.0,0.7535292063492064
Hungary,HUN,43.0,0.8029592295352472
Iceland,ISL,13.0,0.8438552380952381
India,IND,135.0,0.45579238095238095
Indonesia,IDN,108.0,0.5891235241814264
Iran (Islamic Republic of),,75.0,0.6343768253968254
Iraq,IRQ,120.0,0.4648012698412698
Ireland,IRL,11.0,0.8854355555555555
Israel,ISR,19.0,0.849639481838981
Italy,ITA,26.0,0.7837946709621936
Jamaica,JAM,96.0,0.6648984126984127
Japan,JPN,17.0,0.8019746031746031
Jordan,JOR,77.0,0.7044258609625074
Kazakhstan,KAZ,70.0,0.7586914285714287
Kenya,KEN,147.0,0.5089841269841269
Kiribati,KIR,133.0,0.6020705333333334
Korea (Democratic People's Republic of),,nan,0
Korea (Republic of),,15.0,0.8590043612888889
Kuwait,KWT,46.0,0.6315713004460408
Kyrgyzstan,KGZ,125.0,0.6557403174603174
Lao People's Democratic Republic,,139.0,0.42035174603174597
Latvia,LVA,48.0,0.8172708261967555
Lebanon,LBN,65.0,0.6285919966229543
Lesotho,LSO,162.0,0.4968401407473101
Liberia,LBR,175.0,0.36418158730158734
Libya,LBY,55.0,0.6913174603174603
Liechtenstein,LIE,18.0,0.7587666666666667
Lithuania,LTU,35.0,0.8758048345172221
Luxembourg,LUX,21.0,0.7566994816187712
Madagascar,MDG,155.0,0.4516795793650794
Malawi,MWI,174.0,0.42317333333333335
Malaysia,MYS,62.0,0.6671501587301586
Maldives,MDV,103.0,0.5428127002764657
Mali,MLI,176.0,0.2901205394428204
Malta,MLT,39.0,0.7116527829851423
Marshall Islands,MHL,nan,0
Mauritania,MRT,161.0,0.33761619047619046
Mauritius,MUS,63.0,0.6882399106466129
Mexico,MEX,71.0,0.6256751174018497
Micronesia (Federated States of),,124.0,0.6110845333333333
Moldova (Republic of),,114.0,0.6544590476190476
Monaco,MCO,nan,0
Mongolia,MNG,103.0,0.6773536507936507
Montenegro,MNE,51.0,0.76615873015873
Morocco,MAR,129.0,0.4501133333333333
Mozambique,MOZ,178.0,0.36877343081077524
Myanmar,MMR,150.0,0.3674355555555556
Namibia,NAM,127.0,0.5188346031746032
Nauru,NRU,nan,0
Nepal,NPL,145.0,0.4292387301587302
Netherlands,NLD,4.0,0.8748653790307417
New Zealand,NZL,7.0,0.9152295238095238
Nicaragua,NIC,132.0,0.48033428571428577
Niger,NER,187.0,0.1812088888888889
Nigeria,NGA,152.0,0.42322685714285707
Norway,NOR,1.0,0.9071990476190478
Oman,OMN,56.0,0.5843564622664325
Pakistan,PAK,146.0,0.356605391027057
Palau,PLW,60.0,0.7867599547694047
Palestine (State of),,107.0,0.6521315332442995
Panama,PAN,65.0,0.6579946031746032
Papua New Guinea,PNG,157.0,0.3652071306471307
Paraguay,PRY,111.0,0.5814793809145973
Peru,PER,82.0,0.6484111180381168
Philippines,PHL,117.0,0.6102194669829275
Poland,POL,35.0,0.8138449508317259
Portugal,PRT,41.0,0.708104658126831
Qatar,QAT,31.0,0.6878098011016845
Romania,ROU,54.0,0.7463599946763788
Russian Federation,,57.0,0.7771314285714286
Rwanda,RWA,151.0,0.3992187301587301
Saint Kitts and Nevis,KNA,73.0,0.6379126333333334
Saint Lucia,LCA,97.0,0.631431388888889
Saint Vincent and the Grenadines,VCT,91.0,0.6568340111111111
Samoa,WSM,106.0,0.7015082080937797
San Marino,SMR,nan,0
Sao Tome and Principe,STP,142.0,0.4562715625396825
Saudi Arabia,SAU,34.0,0.6815011173451259
Senegal,SEN,163.0,0.35653968253968255
Serbia,,77.0,0.6955523809523809
Seychelles,SYC,71.0,0.6553733333333331
Sierra Leone,SLE,183.0,0.2978714285714285
Singapore,SGP,9.0,0.7388729285714286
Slovakia,SVK,37.0,0.8015349206349207
Slovenia,SVN,25.0,0.8590495639377179
Solomon Islands,SLB,157.0,0.40549878888888896
Somalia,SOM,nan,0
South Africa,ZAF,118.0,0.6829019960336835
South Sudan,SSD,nan,0
Spain,ESP,27.0,0.7780834546164862
Sri Lanka,LKA,73.0,0.7324813492063491
Sudan,SDN,166.0,0.3004951322751323
Suriname,SUR,100.0,0.5883802890777586
Swaziland,SWZ,148.0,0.5418025396825398
Sweden,SWE,12.0,0.8276924507760217
Switzerland,CHE,3.0,0.8379583503871219
Syrian Arab Republic,,118.0,0.5469590633634536
Tajikistan,TJK,133.0,0.6378806349206348
Tanzania (United Republic of),,159.0,0.40989804988662126
Thailand,THA,89.0,0.6006539950295099
The former Yugoslav Republic of Macedonia,,84.0,0.6359453968253969
Timor-Leste,,128.0,0.45795812634920635
Togo,TGO,166.0,0.49187809523809517
Tonga,TON,100.0,0.718504761904762
Trinidad and Tobago,TTO,64.0,0.6994814706652905
Tunisia,TUN,90.0,0.6135552380952382
Turkey,TUR,69.0,0.6111883859785776
Turkmenistan,TKM,103.0,0.6787128888888889
Tuvalu,TUV,nan,0
Uganda,UGA,164.0,0.4725943665522659
Ukraine,UKR,83.0,0.7862463492063491
United Arab Emirates,ARE,40.0,0.6691433575712574
United Kingdom,GBR,14.0,0.8620824834910775
United States,,5.0,0.8852400561694137
Uruguay,URY,50.0,0.7096162368380833
Uzbekistan,UZB,116.0,0.6515079365079365
Vanuatu,VUT,131.0,0.5955111111111111
Venezuela (Bolivarian Republic of),,67.0,0.6748192369577379
Vietnam,VNM,121.0,0.5044336507936508
Yemen,YEM,154.0,0.32702201058201064
Zambia,ZMB,141.0,0.5754902182539684
Zimbabwe,ZWE,156.0,0.4970761904761905
