Region,Subregion,Country/territory,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa,Eastern Africa,Burundi,,,,,,437,496,304,499,455,431,549
,,Kenya,,,"12,715","13,186","12,089","11,479","14,189","14,078","14,366","14,534","13,674","13,949"
,,Mauritius,105,144,122,106,140,148,274,238,230,,,
,,Mozambique,,"1,350","1,272",800,724,728,526,,,,,
,,Rwanda,,,,,,"2,249","1,985","2,004","2,526","3,177","3,299",
,,Uganda,"19,491","25,744","35,092","43,782","28,839","21,186","17,118","22,979","19,023","18,030","16,702","14,509"
,,Zimbabwe,"78,464","95,581","92,510","77,525","63,803","51,247",,,,,,
,Middle Africa,Cameroon*,"2,998","3,056","3,140","3,136","3,482",,"1,486","1,856","5,118","5,807","2,292","2,888"
,,Sao Tome and Principe,1,1,,0,4,1,5,0,4,,,
,Northern Africa,Algeria*,"23,050","20,234","32,920","36,681","36,915","40,398","42,298","41,381","45,548","52,287","54,472","53,853"
,,Egypt,,,,65,71,120,134,156,339,,,
,,Morocco,"48,662","46,067","32,623","36,161","31,432","30,934","31,106",,,"29,439","67,763",
,Southern Africa,Botswana,,,,,,,"15,133","17,457","16,098",,,"16,847"
,,Lesotho,,,,,"9,337","9,957","7,332",,,,,
,,Swaziland,"14,725","14,587",,,,,,,,,,
,Western Africa,Cabo Verde,,,,,,,,"4,090","4,030","4,112","4,013",
,,Cote d'Ivoire,,,,,"9,821","10,124",,,,,,
,,Guinea,,,286,,293,,,,,,,
,,Nigeria,,,,,"15,136","14,692","14,075","18,093",,"15,388","16,487",
,,Senegal,,,279,252,181,543,291,305,,,,
,,Sierra Leone,,,,,"18,620","19,871",,,,,,
Americas,Caribbean,Bahamas,,,,,,,"2,601","3,063","3,268","3,132",,
,,Barbados,,"1,610","1,731","1,704","1,549","1,594","1,610","1,511","1,312","1,468","1,250","1,465"
,,Dominican Republic,,,,,,,,,,"5,937",,"5,027"
,,Grenada,,,"1,894","1,903","1,312","1,285","1,175","1,152","1,236","1,313","1,394","1,428"
,,Jamaica*,,,,,,,,"1,407",,"5,684","4,937",
,,St. Kitts and Nevis,,,,,,,148,155,137,,,
,,St. Vincent and the Grenadines,,"1,529","1,252","1,054","1,063","1,029","1,220","1,309","1,245","1,112",,
,,Trinidad and Tobago,,643,801,657,680,771,689,616,535,579,542,558
,,Puerto Rico,,,,,,"3,115","3,440","2,714","2,894","2,733","2,395","2,475"
,Central America,Belize,,,,142,,,519,,,,,
