country,ISO_A3,2000,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Burundi,BDI,nan,nan,nan,nan,nan,4.2,4.4,4,3.9,5.4,5.4,5.7
Comoros,COM,nan,nan,9.5,nan,nan,nan,nan,8.5,nan,nan,nan,nan
Djibouti,DJI,nan,nan,8.1,nan,nan,nan,nan,7.4,nan,nan,nan,nan
Eritrea,ERI,nan,nan,9.6,nan,nan,nan,nan,8.9,nan,nan,nan,nan
Ethiopia,ETH,nan,nan,9.4,nan,nan,nan,nan,8.5,nan,nan,nan,nan
Kenya,KEN,nan,3.4,3,3,2.9,3.1,4.7,4.7,5.3,5.4,5.5,5
Madagascar,MDG,nan,nan,10,nan,nan,nan,nan,9.2,nan,nan,nan,nan
Malawi,MWI,2.4,3.2,1.5,6.1,5,5.5,2.2,3.4,2.2,1.7,nan,nan
Mauritius,MUS,3.2,2.9,3,4.1,3.6,3.9,3.1,2.6,2.7,2.3,2.8,1.5
Mayotte,,nan,nan,nan,nan,14.2,2.5,5.9,nan,nan,nan,nan,nan
Mozambique,MOZ,5.3,5.6,5.2,4.1,3.8,4.4,3.5,3.6,3.4,nan,nan,nan
R�union,,nan,2.9,3.2,2.4,3,2.2,1.8,nan,nan,nan,nan,nan
Rwanda,RWA,nan,nan,nan,3.5,2.8,1.5,nan,2.8,nan,2.4,3.2,3.8
Seychelles,SYC,nan,11.4,nan,10,8.9,6.6,15.4,9.8,17.4,4.3,19.4,17.2
Somalia,SOM,nan,nan,5,nan,nan,nan,nan,5.3,nan,nan,nan,nan
South Sudan,SSD,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.9,nan,nan
Uganda,UGA,8,7.4,8.7,9.1,8.6,8.8,9.9,9.3,10.7,11.2,10.3,11.5
United Republic of Tanzania,TZA,7.5,7.6,nan,nan,nan,nan,nan,8.4,8.7,8.3,7.3,7.5
Zambia,ZMB,nan,nan,nan,nan,nan,5.3,6,5.9,6,6,5.7,5.3
Zimbabwe,ZWE,10.8,10.6,10.4,8.2,nan,nan,nan,5,nan,6.7,nan,nan
Angola,AGO,nan,nan,nan,nan,nan,nan,nan,nan,4.4,4.8,nan,nan
Cameroon,CMR,6.1,nan,nan,nan,nan,4.1,6.6,5,4.1,4.2,nan,nan
Central African Republic,CAF,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chad,TCD,nan,nan,10.7,nan,nan,nan,nan,9.7,nan,nan,nan,nan
Congo,,nan,nan,10.6,nan,nan,nan,nan,9.9,nan,nan,nan,nan
Democratic Republic of the Congo,COD,nan,nan,14.6,nan,nan,nan,nan,14.3,nan,nan,nan,nan
Equatorial Guinea,GNQ,nan,nan,2.9,nan,nan,nan,nan,2.6,nan,nan,nan,nan
Gabon,GAB,nan,nan,11,nan,nan,nan,nan,8.7,nan,nan,nan,nan
Sao Tome and Principe,STP,nan,nan,nan,2.5,2.5,8.4,2.9,3.4,3.4,nan,nan,nan
Algeria,DZA,2,1.4,0.6,0.9,0.8,0.9,0.8,0.7,0.8,1.4,1.3,1.5
Egypt,EGY,0.6,0.4,0.7,0.7,0.9,1.2,1.1,2.2,3.1,2.5,nan,nan
Libya,LBY,nan,nan,3.7,nan,nan,nan,nan,3.1,nan,nan,nan,nan
Morocco,MAR,1.7,1.6,1.5,1.6,1.7,1.3,1.4,1.4,1.3,1.1,1.3,1
Sudan,SDN,nan,nan,nan,nan,4.7,5.2,nan,nan,nan,nan,nan,nan
Tunisia,TUN,nan,1.9,2.6,2.4,2.7,2.7,2.4,2.7,nan,3,nan,nan
Botswana,BWA,17.3,14.2,15.7,13.9,14.6,14.4,14.6,15,nan,nan,nan,nan
