country,ISO_A3,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Algeria,DZA,220.0,149.0,101.0,302.0,241.0,205.0,207.0,177.0,168.0,106.0,223.0,336.0
Costa Rica,CRI,5.0,8.0,11.0,6.0,8.0,8.0,5.0,11.0,12.0,5.0,4.0,4.0
Canada,CAN,3198.0,3457.0,3896.0,4488.0,4660.0,4732.0,4791.0,4301.0,3780.0,3637.0,3231.0,3266.0
Chile,CHL,161.0,114.0,151.0,247.0,254.0,266.0,246.0,259.0,327.0,254.0,254.0,266.0
Peru,PER,275.0,469.0,497.0,611.0,463.0,483.0,822.0,476.0,471.0,446.0,430.0,701.0
Kyrgyzstan,KGZ,17.0,24.0,24.0,13.0,34.0,25.0,6.0,84.0,66.0,60.0,41.0,51.0
Japan,JPN,284.0,320.0,277.0,199.0,207.0,156.0,156.0,186.0,153.0,190.0,185.0,198.0
Mongolia,MNG,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0
Azerbaijan,AZE,28.0,23.0,29.0,21.0,19.0,20.0,9.0,3.0,0.0,1.0,9.0,4.0
Cyprus,CYP,20.0,15.0,16.0,15.0,10.0,12.0,26.0,27.0,25.0,30.0,19.0,21.0
Belarus,BLR,30.0,34.0,36.0,23.0,31.0,19.0,16.0,19.0,12.0,6.0,13.0,31.0
Bulgaria,BGR,209.0,192.0,190.0,125.0,138.0,127.0,142.0,118.0,77.0,75.0,87.0,95.0
Czech Republic,CZE,14.0,15.0,13.0,16.0,15.0,8.0,7.0,10.0,8.0,8.0,11.0,12.0
Hungary,HUN,36.0,19.0,7.0,13.0,7.0,11.0,14.0,18.0,12.0,9.0,7.0,3.0
Poland,POL,110.0,117.0,22.0,23.0,25.0,37.0,59.0,26.0,11.0,27.0,445.0,292.0
Estonia,EST,2.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0
Finland,FIN,1.0,2.0,2.0,1.0,1.0,0.0,3.0,1.0,3.0,1.0,1.0,1.0
Ireland,IRL,53.0,74.0,74.0,81.0,106.0,77.0,146.0,134.0,109.0,101.0,124.0,125.0
Latvia,LVA,26.0,41.0,6.0,8.0,9.0,3.0,9.0,8.0,7.0,1.0,18.0,17.0
Lithuania,LTU,37.0,62.0,70.0,60.0,66.0,61.0,59.0,69.0,48.0,65.0,46.0,44.0
United Kingdom,GBR,3125.0,2814.0,2799.0,2367.0,1991.0,2035.0,1860.0,1717.0,1516.0,1388.0,1728.0,2198.0
United Kingdom,GBR,71.0,80.0,46.0,53.0,67.0,83.0,82.0,56.0,66.0,45.0,59.0,44.0
Italy,ITA,132.0,154.0,368.0,278.0,364.0,325.0,349.0,351.0,356.0,341.0,325.0,297.0
Slovenia,SVN,8.0,1.0,3.0,6.0,9.0,7.0,2.0,4.0,2.0,4.0,4.0,5.0
Belgium,BEL,1003.0,1066.0,919.0,915.0,958.0,1013.0,1080.0,1122.0,1194.0,1180.0,1159.0,1118.0
France,FRA,2031.0,2143.0,2012.0,2288.0,2109.0,2074.0,2085.0,2092.0,2234.0,2117.0,2266.0,2956.0
Switzerland,CHE,263.0,267.0,245.0,274.0,269.0,309.0,359.0,309.0,308.0,295.0,324.0,355.0
