country,ISO_A3,value
Aruba,ABW,102405.33333333333
Afghanistan,AFG,29927786.666666668
Angola,AGO,24307623.444444444
Albania,ALB,2914262.888888889
Andorra,AND,82184.66666666667
Arab World,ARB,364931803.0
United Arab Emirates,ARE,8186642.444444444
Argentina,ARG,41674303.55555555
Armenia,ARM,2897928.111111111
American Samoa,ASM,55958.666666666664
Antigua and Barbuda,ATG,95691.0
Australia,AUS,22375952.444444444
Austria,AUT,8423802.444444444
Azerbaijan,AZE,9157373.555555556
Burundi,BDI,9051362.444444444
Belgium,BEL,10985534.666666666
Benin,BEN,9483638.777777778
Burkina Faso,BFA,16123389.666666666
Bangladesh,BGD,154040582.33333334
Bulgaria,BGR,7355466.777777778
Bahrain,BHR,1242057.888888889
|Bahamas, The|,BHS,365727.3333333333
Bosnia and Herzegovina,BIH,3672252.3333333335
Belarus,BLR,9494897.444444444
Belize,BLZ,329018.3333333333
Bermuda,BMU,65073.555555555555
Bolivia,BOL,10080307.111111112
Brazil,BRA,198614386.1111111
Barbados,BRB,280422.77777777775
Brunei Darussalam,BRN,395030.3333333333
Bhutan,BTN,739142.1111111111
Botswana,BWA,2055827.111111111
Central African Republic,CAF,4444628.333333333
Canada,CAN,34375678.0
Central Europe and the Baltics,CEB,104297378.0
Switzerland,CHE,7915242.444444444
Channel Islands,CHI,160337.77777777778
Chile,CHL,17142109.888888888
China,CHN,1344355555.5555556
Cote d'Ivoire,CIV,20982408.0
Cameroon,CMR,20559822.666666668
|Congo, Dem. Rep.|,COD,66961295.44444445
|Congo, Rep.|,COG,4499591.222222222
Colombia,COL,46362456.0
Comoros,COM,707837.6666666666
Cabo Verde,CPV,508778.8888888889
Costa Rica,CRI,4595438.222222222
Caribbean small states,CSS,7028870.222222222
Cuba,CUB,11368361.888888888
Curacao,CUW,150678.0
Cayman Islands,CYM,56200.333333333336
Cyprus,CYP,1119227.2222222222
Czech Republic,CZE,10466036.444444444
Germany,DEU,81341247.55555555
Djibouti,DJI,867078.8888888889
Dominica,DMA,71866.11111111111
Denmark,DNK,5569985.666666667
Dominican Republic,DOM,10022688.333333334
Algeria,DZA,36939221.777777776
East Asia & Pacific (excluding high income),EAP,1980845429.7777777
Early-demographic dividend,EAR,2953101402.111111
East Asia & Pacific,EAS,2222357171.5555553
Europe & Central Asia (excluding high income),ECA,401694975.1111111
Europe & Central Asia,ECS,892249976.5555556
Ecuador,ECU,15176114.222222222
|Egypt, Arab Rep.|,EGY,86241416.77777778
Euro area,EMU,336151905.7777778
Eritrea,ERI,4312366.4
Spain,ESP,46353584.777777776
