country,ISO_A3,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Uganda,UGA,19491.0,25744.0,35092.0,43782.0,28839.0,21186.0,17118.0,22979.0,19023.0,18030.0,16702.0,14509.0
Algeria,DZA,23050.0,20234.0,32920.0,36681.0,36915.0,40398.0,42298.0,41381.0,45548.0,52287.0,54472.0,53853.0
Canada,CAN,48135.0,49376.0,53451.0,56709.0,58269.0,58419.0,57002.0,55436.0,53957.0,53339.0,49260.0,48030.0
United States of America,USA,859030.0,847381.0,862220.0,874096.0,866358.0,843683.0,812514.0,781844.0,752423.0,762009.0,726777.0,741291.0
Kyrgyzstan,KGZ,225.0,213.0,264.0,206.0,343.0,349.0,359.0,536.0,482.0,414.0,306.0,380.0
Japan,JPN,58505.0,59628.0,60299.0,64989.0,62952.0,60126.0,26574.0,26647.0,25928.0,28058.0,27864.0,26653.0
Mongolia,MNG,2440.0,2846.0,2991.0,3584.0,4614.0,5319.0,5770.0,5821.0,5838.0,6546.0,7564.0,8132.0
Singapore,SGP,593.0,549.0,607.0,636.0,403.0,441.0,406.0,429.0,406.0,452.0,476.0,513.0
Cyprus,CYP,135.0,172.0,132.0,134.0,142.0,167.0,219.0,173.0,164.0,148.0,132.0,134.0
Belarus,BLR,4032.0,1970.0,1915.0,1726.0,1657.0,1442.0,1318.0,1158.0,1003.0,907.0,852.0,830.0
Bulgaria,BGR,3806.0,3711.0,3656.0,2976.0,3173.0,3216.0,3122.0,3038.0,2462.0,2410.0,2470.0,2533.0
Hungary,HUN,11442.0,12514.0,12339.0,11516.0,11148.0,12757.0,12787.0,14569.0,14212.0,13973.0,13377.0,13475.0
Romania,ROU,9641.0,9201.0,8898.0,9459.0,9586.0,9457.0,9072.0,12301.0,12299.0,17219.0,17572.0,2279.0
Slovakia,SVK,4076.0,3810.0,3896.0,3200.0,2967.0,2702.0,2618.0,2426.0,2227.0,2183.0,2017.0,1957.0
Denmark,DNK,10894.0,11005.0,11117.0,11628.0,11552.0,11203.0,10573.0,10598.0,10373.0,9557.0,9260.0,9295.0
Finland,FIN,28835.0,29782.0,30467.0,30864.0,34614.0,34778.0,32878.0,33063.0,40154.0,38213.0,35503.0,32919.0
Ireland,IRL,11792.0,12255.0,12479.0,13737.0,15147.0,16186.0,15580.0,15038.0,14709.0,13566.0,12644.0,13206.0
Latvia,LVA,883.0,872.0,1100.0,1549.0,1256.0,1346.0,1215.0,1226.0,1161.0,1325.0,458.0,569.0
Lithuania,LTU,543.0,454.0,407.0,340.0,287.0,251.0,220.0,245.0,206.0,178.0,211.0,204.0
Norway,NOR,2804.0,2884.0,2961.0,3185.0,3312.0,3279.0,3093.0,2925.0,2837.0,2781.0,2566.0,2377.0
Sweden,SWE,65177.0,67089.0,72645.0,77019.0,82262.0,84566.0,86281.0,87854.0,89457.0,87052.0,80374.0,83324.0
United Kingdom,GBR,455514.0,513173.0,541455.0,504718.0,450766.0,419119.0,399713.0,366878.0,336867.0,310953.0,321533.0,372647.0
United Kingdom,GBR,1116.0,1089.0,1095.0,1164.0,1148.0,1549.0,1605.0,1451.0,1446.0,1278.0,1093.0,1171.0
United Kingdom,GBR,62330.0,80486.0,78601.0,84692.0,79523.0,79892.0,5621.0,5493.0,4693.0,3643.0,3268.0,3166.0
Croatia,HRV,1249.0,1153.0,1153.0,1069.0,1093.0,1128.0,1059.0,986.0,873.0,903.0,823.0,766.0
Greece,GRC,7663.0,7606.0,7777.0,7399.0,7788.0,8008.0,7869.0,7636.0,5024.0,4590.0,5611.0,5574.0
Portugal,PRT,44304.0,41716.0,39220.0,39998.0,37389.0,33494.0,33205.0,30816.0,28775.0,27178.0,25698.0,24869.0
Slovenia,SVN,2400.0,2379.0,2304.0,2431.0,2482.0,2135.0,2177.0,2182.0,1974.0,2032.0,1849.0,1657.0
Belgium,BEL,61959.0,64811.0,67418.0,70886.0,74289.0,76314.0,77665.0,77741.0,78767.0,72251.0,69632.0,69162.0
France,FRA,135003.0,137679.0,148651.0,164359.0,175886.0,187937.0,220126.0,220372.0,219645.0,222061.0,221899.0,227338.0
Germany,DEU,445727.0,474575.0,494329.0,510775.0,523283.0,518499.0,149301.0,142903.0,139091.0,136077.0,127869.0,125752.0
Liechtenstein,LIE,61.0,70.0,71.0,77.0,68.0,88.0,90.0,77.0,78.0,69.0,103.0,120.0
Netherlands,NLD,53500.0,55300.0,67060.0,69185.0,71570.0,69005.0,65690.0,60280.0,59425.0,57325.0,52855.0,50335.0
Switzerland,CHE,6732.0,8198.0,8099.0,9272.0,9644.0,8893.0,524.0,487.0,487.0,597.0,568.0,609.0
