country,ISO_A3,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Uganda,UGA,23513.0,35824.0,55059.0,69618.0,47204.0,32958.0,27589.0,23429.0,21672.0,20649.0,18146.0,17059.0
Canada,CAN,720021.0,690967.0,655885.0,634912.0,597504.0,569714.0,574950.0,544231.0,515591.0,514920.0,486562.0,489137.0
United States of America,USA,7026802.0,6937089.0,6783447.0,6626363.0,6591542.0,6586206.0,6338095.0,6204601.0,6151095.0,6168874.0,6019465.0,5858496.0
Peru,PER,58126.0,57560.0,52435.0,49423.0,45228.0,47310.0,49477.0,55828.0,62389.0,76182.0,83308.0,89599.0
Kyrgyzstan,KGZ,14383.0,12101.0,12335.0,10967.0,11185.0,10963.0,10936.0,9886.0,12008.0,10848.0,9975.0,9029.0
Mongolia,MNG,8782.0,7861.0,6683.0,6657.0,7927.0,6609.0,6376.0,5777.0,5276.0,6266.0,7884.0,8424.0
Republic of Korea,,187352.0,155311.0,188780.0,192555.0,212342.0,223207.0,256418.0,269410.0,281359.0,290055.0,288343.0,266222.0
Singapore,SGP,15086.0,16724.0,21168.0,19073.0,18068.0,18360.0,18998.0,18274.0,17251.0,17462.0,16124.0,15868.0
Azerbaijan,AZE,1820.0,1776.0,2151.0,2139.0,1903.0,3347.0,3640.0,3868.0,5019.0,4236.0,5144.0,5861.0
Cyprus,CYP,1504.0,1131.0,1201.0,1607.0,1667.0,1405.0,1285.0,1670.0,1687.0,1550.0,1245.0,966.0
Belarus,BLR,74632.0,81438.0,103196.0,104161.0,103082.0,87387.0,82340.0,73590.0,73598.0,56378.0,46356.0,40528.0
Bulgaria,BGR,47148.0,47010.0,43119.0,44201.0,42100.0,37933.0,39808.0,50479.0,47323.0,44462.0,45256.0,41246.0
Czech Republic,CZE,141323.0,162139.0,154124.0,151136.0,154207.0,147292.0,138369.0,126311.0,124274.0,119367.0,125573.0,103708.0
Hungary,HUN,124782.0,129466.0,126253.0,122677.0,124522.0,119143.0,117232.0,134196.0,129749.0,130299.0,124276.0,106939.0
Poland,POL,281852.0,287936.0,278852.0,250180.0,219820.0,196745.0,190923.0,203916.0,230247.0,230751.0,200062.0,167390.0
Republic of Moldova,,14985.0,12378.0,11506.0,9419.0,9724.0,9642.0,9136.0,13646.0,15060.0,14294.0,15378.0,16729.0
Romania,ROU,58472.0,48065.0,43191.0,41624.0,44370.0,39519.0,46431.0,48828.0,47322.0,56732.0,57557.0,164396.0
Slovakia,SVK,28991.0,37818.0,18894.0,32711.0,32383.0,29608.0,27770.0,24464.0,22505.0,20837.0,20708.0,18568.0
Denmark,DNK,186157.0,182444.0,168120.0,165953.0,176796.0,190042.0,187179.0,191108.0,197482.0,191933.0,188135.0,170892.0
Estonia,EST,34215.0,31140.0,30452.0,26615.0,21685.0,22471.0,23901.0,25253.0,20175.0,18628.0,16465.0,15738.0
Finland,FIN,141372.0,131515.0,125081.0,119116.0,118569.0,120214.0,124421.0,121746.0,123818.0,113296.0,117388.0,117372.0
Ireland,IRL,57870.0,57832.0,58879.0,60839.0,61659.0,62554.0,63902.0,65415.0,66581.0,67954.0,71369.0,69970.0
