Region,Subregion,UNODC Name,Source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Africa,Eastern Africa,Burundi,CTS/SDG,,,,,,,,, 4.2 , 4.4 , 4.0 , 3.9 , 5.4 , 5.4 , 5.7 , 4.5 , 6.0 
Africa,Eastern Africa,Comoros,WHO Estimate, 10.4 ,,,,, 9.5 ,,,,, 8.5 ,,,,, 7.7 ,
Africa,Eastern Africa,Djibouti,WHO Estimate, 8.9 ,,,,, 8.1 ,,,,, 7.4 ,,,,, 6.5 ,
Africa,Eastern Africa,Eritrea,WHO Estimate, 9.9 ,,,,, 9.6 ,,,,, 8.9 ,,,,, 8.0 ,
Africa,Eastern Africa,Ethiopia,WHO Estimate, 10.7 ,,,,, 9.4 ,,,,, 8.5 ,,,,, 7.6 ,
Africa,Eastern Africa,Kenya,CTS,,,,, 3.4 , 3.0 , 3.0 , 2.9 , 3.1 , 4.7 , 4.7 , 5.3 , 5.4 , 5.5 , 5.0 , 4.8 , 4.9
Africa,Eastern Africa,Madagascar,WHO Estimate, 11.4 ,,,,, 10.0 ,,,,, 9.2 ,,,,, 7.7 ,
Africa,Eastern Africa,Malawi,NP, 6.2 , 7.7 , 4.7 , 2.4 , 3.2 , 1.5 , 6.1 , 5.0 , 5.5 , 2.2 , 3.4 , 2.2 , 1.7 ,,,,
Africa,Eastern Africa,Mauritius,UNSDC/CTS/NSO, 2.2 ,,, 3.2 , 2.9 , 3.0 , 4.1 , 3.6 , 3.9 , 3.1 , 2.6 , 2.7 , 2.3 , 2.8 , 1.5 , 1.7 , 1.8
Africa,Eastern Africa,Mayotte,NP,,,,,,,, 14.2 , 2.5 , 5.9 ,,,,,,,
Africa,Eastern Africa,Mozambique,WHO/SDG,, 5.9 , 5.4 , 5.3 , 5.6 , 5.2 , 4.1 , 3.8 , 4.4 , 3.5 , 3.6 , 3.4 ,,,,,
Africa,Eastern Africa,R�union,NP,,,,, 2.9 , 3.2 , 2.4 , 3.0 , 2.2 , 1.8 ,,,,,,,
Africa,Eastern Africa,Rwanda,NSO,,,,,,, 3.5 , 2.8 , 1.5 ,, 2.8 ,, 2.4 , 3.2 , 3.8 , 2.5 ,
Africa,Eastern Africa,Seychelles,INTP/NSO,,,,, 11.4 ,, 10.0 , 8.9 , 6.6 , 15.4 , 9.8 , 17.4 , 4.3 , 19.4 , 17.2 , 7.5 , 12.7
Africa,Eastern Africa,Somalia,WHO Estimate, 5.4 ,,,,, 5.0 ,,,,, 5.3 ,,,,, 4.3 ,
Africa,Eastern Africa,South Sudan,NP,,,,,,,,,,,,, 13.9 ,,,,
Africa,Eastern Africa,Uganda,CTS/NP,,,, 8.0 , 7.4 , 8.7 , 9.1 , 8.6 , 8.8 , 9.9 , 9.3 , 10.7 , 11.2 , 10.3 , 11.5 ,,
Africa,Eastern Africa,United Republic of Tanzania,INTP/CTS,,,, 7.5 , 7.6 ,,,,,, 8.4 , 8.7 , 8.3 , 7.3 , 7.5 , 7.0 ,
Africa,Eastern Africa,Zambia,UNSDC/WHO/NP, 7.6 ,,,,,,,, 5.3 , 6.0 , 5.9 , 6.0 , 6.0 , 5.7 , 5.3 , 5.3 ,
